String,Applicant,Website,Location,Region,Primary Contact,Email,IDN?,A-Label,English Meaning,Script Code,Community?,Geographic?,Application ID
HALAL,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.,,TR,AP,Mehdi Abbasnia,agitsys4@nsline.com,--,--,--,--,Yes,--,1-2131-60793
HAMBURG,Hamburg Top-Level-Domain GmbH,http://www.dothamburg.de,DE,EUR,Mr. Oliver Joachim Sueme,os@dothamburg.de,--,--,--,--,Yes,Yes,1-1134-57974
HANGOUT,Charleston Road Registry Inc.,,US,NA,Ms. Sarah Falvey,tas-contact8@google.com,--,--,--,--,--,--,1-1678-13168
HAUS,"Pixie Edge, LLC",,US,NA,Daniel Schindler,pixieedge@donuts.co,--,--,--,--,--,--,1-1488-15641
HBO,"HBO Registry Services, Inc.",,US,NA,Mr. Matthew Serlin,mserlin5@markmonitor.com,--,--,--,--,--,--,1-1783-76510
HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,http://www.hdfc.com,IN,AP,Mr. Girish Koliyote,girishk@hdfc.com,--,--,--,--,--,--,1-1859-23172
HDFCBANK,HDFC Bank Limited,http://www.hdfcbank.com,IN,AP,Ms. Kavita Joshi,kavita.joshi@hdfcbank.com,--,--,--,--,--,--,1-1307-93169
HEALTH,dot Health Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas6@famousfourmedia.com,--,--,--,--,--,--,1-1178-3236
HEALTH,"Goose Fest, LLC",,US,NA,Daniel Schindler,goosefest@donuts.co,--,--,--,--,--,--,1-1489-82287
HEALTH,"DotHealth, LLC",http://www.dothealthgtld.com,US,NA,Mr. Andrew Ryan Weissberg,weissberga@gmail.com,--,--,--,--,--,--,1-1684-6394
HEALTH,Afilias Limited,,IE,EUR,John Kane,jkane@afilias.info,--,--,--,--,--,--,1-868-3442
HEALTHCARE,"Silver Glen, LLC",,US,NA,Daniel Schindler,silverglen@donuts.co,--,--,--,--,--,--,1-1492-32589
HEART,"American Heart Association, Inc.",http://www.heart.org,US,NA,Kristi Gouge,kristi.gouge@heart.org,--,--,--,--,--,--,1-1483-85325
HEINZ,ProMark Brands Inc.,,US,NA,Joshua Bourne,bourne.hz@fairwindspartners.com,--,--,--,--,--,--,1-941-50387
HELP,"Pioneer Gardens, LLC",,US,NA,Daniel Schindler,pioneergardens@donuts.co,--,--,--,--,--,--,1-1499-91633
HELP,Dot Tech LLC,,US,NA,Tess Pattison-Wade,tess@piqueco.com,--,--,--,--,--,--,1-1670-92378
HELP,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Mr. Frank Taylor Schilling,contact@uniregistry.com,--,--,--,--,--,--,1-845-3403
HELSINKI,City of Helsinki,,FI,EUR,Mr. Kari Miskala,kari.miskala@hel.fi,--,--,--,--,--,Yes,1-1865-66478
HERE,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact5@google.com,--,--,--,--,--,--,1-1140-20987
HERMES,HERMES INTERNATIONAL,http://www.hermes.com,FR,EUR,Ms. Perrine Marie Corvaisier,perrine.corvaisier@hermes.com,--,--,--,--,--,--,1-1136-8758
HGTV,"Lifestyle Domain Holdings, Inc.",,US,NA,Matthew Russotti,mrussotti@wolfe-sbmc.com,--,--,--,--,--,--,1-1326-4851
HILTON,HLT Stakis IP Limited,,US,NA,Mr. Matthew Serlin,mserlin10@markmonitor.com,--,--,--,--,--,--,1-1876-7694
HIPHOP,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Bret Alan Samuel Fausett,bret@internet.pro,--,--,--,--,--,--,1-855-7383
HISAMITSU,"Hisamitsu Pharmaceutical Co.,Inc.",http://www.hisamitsu.co.jp/,JP,AP,Mr. Mitsuaki Nakagawa,nakagawa_07@brights.jp,--,--,--,--,--,--,1-935-57258
HITACHI,"Hitachi, Ltd.",http://www.hitachi.co.jp,JP,AP,Mr. Ken Nishida,dot.hitachi.oo@hitachi.com,--,--,--,--,--,--,1-1024-52378
HIV,dotHIV gemeinnuetziger e.V.,http://www.dothiv.org,DE,EUR,Ms. Carolin Silbernagl,cs@dothiv.org,--,--,--,--,--,--,1-971-90747
HKT,PCCW-HKT DataCom Services Limited,www.hkt.com,HK,AP,Mr. Edmon Chung,info@tld.asia,--,--,--,--,--,--,1-1309-96306
HOCKEY,dot Hockey Limited,,GI,EUR,Mr. Geir Rasmussen,icanntas21@famousfourmedia.com,--,--,--,--,--,--,1-1204-89680
HOCKEY,"Half Willow, LLC",,US,NA,Daniel Schindler,halfwillow@donuts.co,--,--,--,--,--,--,1-1493-98462
HOLDINGS,"John Madison, LLC",,US,NA,Daniel Schindler,johnmadison@donuts.co,--,--,--,--,--,--,1-1496-1524
HOLIDAY,"Goose Woods, LLC",,US,NA,Daniel Schindler,goosewoods@donuts.co,--,--,--,--,--,--,1-1497-56699
HOME,.HOME REGISTRY INC.,,KY,EUR,John Kane,Jkane1@afilias.info,--,--,--,--,--,--,1-1013-95616
HOME,DotHome Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dothome@radixregistry.com,--,--,--,--,--,--,1-1049-60075
HOME,"Go Daddy East, LLC",http://www.godaddy.com,US,NA,Mr. James Michael Bladel,tas@godaddy.com,--,--,--,--,--,--,1-1109-77450
HOME,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact4@google.com,--,--,--,--,--,--,1-1139-16944
HOME,"Lifestyle Domain Holdings, Inc.",,US,NA,Matthew Russotti,mrussotti@wolfe-sbmc.com,--,--,--,--,--,--,1-1326-24627
HOME,"Baxter Pike, LLC",,US,NA,Daniel Schindler,baxterpike@donuts.co,--,--,--,--,--,--,1-1494-83305
HOME,DotHome / CGR E-Commerce Ltd,http://dothome.net,CY,AP,Constantinos Roussos,domain@dothome.net,--,--,--,--,--,--,1-2021-47438
HOME,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Mr. Frank Taylor Schilling,contact@uniregistry.com,--,--,--,--,--,--,1-845-48417
HOME,Merchant Law Group LLP,,CA,NA,Mr. Brendon James Ralfe,bralfe@merchantlaw.com,--,--,--,--,--,--,1-875-27253
HOME,Dot Home LLC,,US,NA,Mr. Brian David Johnson,bdj@secondgen.com,--,--,--,--,--,--,1-907-28623
HOME,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,tas.minds.machines@gmail.com,--,--,--,--,--,--,1-927-70273
HOMEDEPOT,"Homer TLC, Inc.",http://www.homedepot.com/,US,NA,Gretchen Olive,newgtlds@cscinfo.com,--,--,--,--,--,--,1-1095-1782
HOMEGOODS,"The TJX Companies, Inc.",http://www.tjx.com,US,NA,Colleen Henschke,Colleen_Henschke@tjx.com,--,--,--,--,--,--,1-1764-99491
HOMES,"DERHomes, LLC",,US,NA,Guy R Friddell III,gfridelltld@dominionenterprises.com,--,--,--,--,--,--,1-909-196
HOMESENSE,"The TJX Companies, Inc.",http://www.tjx.com,US,NA,Colleen Henschke,Colleen_Henschke@tjx.com,--,--,--,--,--,--,1-1764-22954
HONDA,"Honda Motor Co., Ltd.",http://www.honda.co.jp/,JP,AP,Mr. Mitsuaki Nakagawa,nakagawa_04@brights.jp,--,--,--,--,--,--,1-1923-79996
HONEYWELL,Honeywell GTLD LLC,,US,NA,Mr. Joshua Bourne,bourne.hw@fairwindspartners.com,--,--,--,--,--,--,1-1517-81574
HORSE,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,tas.minds.machines@gmail.com,--,--,--,--,--,--,1-927-86049
HOSPITAL,"Ruby Pike, LLC",,US,NA,Daniel Schindler,rubypike@donuts.co,--,--,--,--,--,--,1-1505-15195
HOST,DotHost Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dothost@radixregistry.com,--,--,--,--,--,--,1-1061-73671
HOSTING,Dottransfer Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dotlawyer@radixregistry.com,--,--,--,--,--,--,1-1286-14385
HOSTING,"Trixy Birch, LLC",,US,NA,Daniel Schindler,trixybirch@donuts.co,--,--,--,--,--,--,1-1507-65003
HOSTING,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Bret Alan Samuel Fausett,bret@internet.pro,--,--,--,--,--,--,1-855-76484
HOT,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am1@valideus.com,--,--,--,--,--,--,1-1316-38620
HOT,"Auburn Hill, LLC",,US,NA,Daniel Schindler,auburnhill@donuts.co,--,--,--,--,--,--,1-1498-82780
HOT,dotHot LLC,,US,NA,Mr. Brian David Johnson,bdj@secondgen.com,--,--,--,--,--,--,1-907-22514
HOTEIS,Despegar Online SRL,http://www.despegar.com,UY,LAC,Joshua Bourne,Bourne.DS@fairwindspartners.com,--,--,--,--,--,--,1-1249-87712
HOTEL,HOTEL Top-Level-Domain S.a.r.l,http://www.dothotel.info,LU,EUR,Mr. Johannes Lenz-Hawliczek,johannes@dothotel.info,--,--,--,--,Yes,--,1-1032-95136
HOTEL,DotHotel Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dothotel@radixregistry.com,--,--,--,--,--,--,1-1059-97519
HOTEL,dot Hotel Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas9@famousfourmedia.com,--,--,--,--,--,--,1-1181-77853
HOTEL,Despegar Online SRL,http://www.despegar.com,UY,LAC,Joshua Bourne,Bourne.DS@fairwindspartners.com,--,--,--,--,--,--,1-1249-36568
HOTEL,"Spring McCook, LLC",,US,NA,Daniel Schindler,springmccook@donuts.co,--,--,--,--,--,--,1-1500-16803
HOTEL,"Fegistry, LLC",,US,NA,Jay Westerdal,jay@fegistry.com,--,--,--,--,--,--,1-1913-57874
HOTEL,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,tas.minds.machines@gmail.com,--,--,--,--,--,--,1-927-25198
HOTELES,Despegar Online SRL,http://www.despegar.com,UY,LAC,Joshua Bourne,Bourne.DS@fairwindspartners.com,--,--,--,--,--,--,1-1249-1940
HOTELS,Booking.com B.V.,http://www.booking.com,NL,EUR,Mr. Winston Fuhriman,tfuhriman3@markmonitor.com,--,--,--,--,--,--,1-1016-75482
HOTMAIL,Microsoft Corporation,http://www.microsoft.com,US,NA,Ms. Cynthia Ruth Kern,tlddom@microsoft.com,--,--,--,--,--,--,1-1129-32525
HOUSE,"Sugar Park, LLC",,US,NA,Daniel Schindler,sugarpark@donuts.co,--,--,--,--,--,--,1-1506-83794
HOW,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact11@google.com,--,--,--,--,--,--,1-1682-29920
HSBC,HSBC Holdings PLC,http://www.hsbc.com,GB,EUR,Mr. Martin Sutton,martin.sutton@valideus.com,--,--,--,--,--,--,1-1689-20699
HTC,HTC corporation,http://www.htc.com,TW,AP,Mr. David Liu,foreign@net-chinese.com.tw,--,--,--,--,--,--,1-1658-26594
HUGHES,Hughes Satellite Systems Corporation,http://www.hughes.com,US,NA,Gretchen Olive,echostarnewgtlds@cscinfo.com,--,--,--,--,--,--,1-1997-46911
HYATT,"Hyatt GTLD, L.L.C.",,US,NA,Mr. Philip Lodico,lodico.ht@fairwindspartners.com,--,--,--,--,--,--,1-965-48449
HYUNDAI,Hyundai Motor Company,http://www.hyundai.com,KR,AP,Mr. Mitsuaki Nakagawa,nakagawa_21@brights.jp,--,--,--,--,--,--,1-1922-62743
IBM,International Business Machines Corporation,http://www.ibm.com,US,NA,Leonora Hoicka,ibmiplaw@us.ibm.com,--,--,--,--,--,--,1-992-57662
ICBC,Industrial and Commercial Bank of China Limited,,CN,AP,Ms. qing peng,icbc-icann@hichina.com,--,--,--,--,--,--,1-1010-74163
ICE,"IntercontinentalExchange, Inc.",http://www.theice.com,US,NA,Mr. Jerry Perullo,aol-loop@theice.com,--,--,--,--,--,--,1-1965-44528
ICU,One.com A/S,http://www.one.com,DK,EUR,Mr. Ronni Engelhardt Andersen,rea@one.com,--,--,--,--,--,--,1-979-15291
IDN,Nameshop,http://nameshop.in,IN,AP,Mr. Sivasubramanian Muthusamy,isolatednet@gmail.com,--,--,--,--,--,--,1-1873-71868
IEEE,IEEE Global LLC,,US,NA,Jamie Noel Nafziger-White,nafziger.jamie@dorsey.com,--,--,--,--,Yes,--,1-966-50066
IFM,ifm electronic gmbh,,DE,EUR,Mr. Elmar Knipp,tas-p-ifm@knipp.de,--,--,--,--,--,--,1-1740-10420
IINET,Connect West Pty. Ltd.,http://www.connectwest.net.au,AU,AP,Mr. Roger Yerramsetti,rogery@staff.iinet.net.au,--,--,--,--,--,--,1-1164-13371
IKANO,Ikano S.A.,http://www.ikano.lu,LU,EUR,Mr. Joakim Larsson,joakim.larsson@ikano.lu,--,--,--,--,Yes,--,1-1002-9044
IMAMAT,Fondation Aga Khan (Aga Khan Foundation),Http://www.akdn.org,CH,EUR,John Kane,Jkane1@afilias.info,--,--,--,--,--,--,1-1013-17019
IMDB,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am@valideus.com,--,--,--,--,--,--,1-1315-27811
IMMO,STARTING DOT,http://www.startingdot.com,FR,EUR,Mr. Godefroy Jordan,startingdot@jwgroupe.com,--,--,--,--,Yes,--,1-1000-62742
IMMO,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.4@gmail.com,--,--,--,--,--,--,1-1037-6617
IMMO,"Auburn Bloom, LLC",,US,NA,Daniel Schindler,auburnbloom@donuts.co,--,--,--,--,--,--,1-1511-99612
IMMO,dotimmobilie GmbH,http://www.dotimmobilie.de,DE,EUR,Mr. Axel Schwiersch,info@dotimmobilie.de,--,--,--,--,--,--,1-1761-46474
IMMOBILIEN,United TLD Holdco Ltd.,http://unitedtld.com,KY,EUR,Mr. Jeffrey Eckhaus,hello@unitedtld.com,--,--,--,--,--,--,1-1255-76933
INC,C.V. TLDcare,,NL,EUR,Mr. Tacco Merlijn Marijnen,t.marijnen@tldcare.com,--,--,--,--,--,--,1-1112-96698
INC,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact6@google.com,--,--,--,--,--,--,1-1142-83944
INC,"Baxter Sunset, LLC",,US,NA,Daniel Schindler,baxtersunset@donuts.co,--,--,--,--,--,--,1-1271-68369
INC,NU DOT CO LLC,,US,NA,Jose Ignacio Rasco,r@straat.co,--,--,--,--,--,--,1-1296-44261
INC,GTLD Limited,,HK,AP,Mr. Edmon Chung,info@tld.asia,--,--,--,--,--,--,1-1309-22501
INC,"CNI Registry, LLC",,US,NA,Joshua Bourne,bourne.in@fairwindspartners.com,--,--,--,--,--,--,1-1692-77224
INC,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Bret Alan Samuel Fausett,bret@internet.pro,--,--,--,--,--,--,1-855-4741
INC,Afilias Limited,,IE,EUR,John Kane,jkane@afilias.info,--,--,--,--,--,--,1-868-6380
INC,Dot Registry LLC,,US,NA,Ms. Tess Pattison-Wade,tpw5029@hotmail.com,--,--,--,--,Yes,--,1-880-35979
INC,"GMO Registry, Inc.",http://www.gmoregistry.com,JP,AP,Mr. Hirokatsu Ohigashi,newgtld@gmoregistry.com,--,--,--,--,--,--,1-890-52980
INC,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,tas.minds.machines@gmail.com,--,--,--,--,--,--,1-927-63223
INDIANS,Reliance Industries Limited,http://www.ril.com,IN,AP,Mr. Vivek Goyal,Vivek.V.Goyal@ril.com,--,--,--,--,--,--,1-1308-78414
INDUSTRIES,"Outer House, LLC",,US,NA,Daniel Schindler,outerhouse@donuts.co,--,--,--,--,--,--,1-1510-3058
INFINITI,"NISSAN MOTOR CO., LTD.",http://www.nissan-global.com/,JP,AP,Mr. Tatsuhiro MOTODA,infiniti-dn@thomsonbrandy.jp,--,--,--,--,--,--,1-1022-99709
INFOSYS,Infosys Limited,http://www.infosys.com/,IN,AP,Mr. Jackson Mathew,Jackson@infosys.com,--,--,--,--,--,--,1-1792-59978
INFY,Infosys Limited,http://www.infosys.com/,IN,AP,Mr. Jackson Mathew,Jackson@infosys.com,--,--,--,--,--,--,1-1792-97165
ING,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact12@google.com,--,--,--,--,--,--,1-1683-75852
INK,"Top Level Design, LLC",,US,NA,Mr. Raymond King,raymondking@gmail.com,--,--,--,--,--,--,1-1086-41069
INSTITUTE,"Outer Maple, LLC",,US,NA,Daniel Schindler,outermaple@donuts.co,--,--,--,--,--,--,1-1514-76062
INSURANCE,fTLD Registry Services LLC,,US,NA,Mr. Craig Scott Schwartz,craig.schwartz@fsround.org,--,--,--,--,Yes,--,1-1035-75923
INSURANCE,Dotfresh Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dotinsurance@radixregistry.com,--,--,--,--,--,--,1-1063-32835
INSURANCE,Progressive Casualty Insurance Company,http://www.Progressive.com,US,NA,Gretchen Olive,prognewgtlds@cscinfo.com,--,--,--,--,--,--,1-1269-14573
INSURANCE,"Auburn Park, LLC",,US,NA,Daniel Schindler,auburnpark@donuts.co,--,--,--,--,--,--,1-1512-20834
INSURE,"Pioneer Willow, LLC",,US,NA,Daniel Schindler,pioneerwillow@donuts.co,--,--,--,--,--,--,1-1516-617
INTEL,Intel Corporation,,US,NA,Mr. Philip Lodico,lodico.in@fairwindspartners.com,--,--,--,--,--,--,1-1695-84442
INTERNATIONAL,"Wild Way, LLC",,US,NA,Daniel Schindler,wildway@donuts.co,--,--,--,--,--,--,1-1513-9603
INTUIT,"Intuit Administrative Services, Inc.",,US,NA,Mr. Christopher Niemi,cniemi4@markmonitor.com,--,--,--,--,--,--,1-1281-62880
INVESTMENTS,"Holly Glen, LLC",,US,NA,Daniel Schindler,hollyglen@donuts.co,--,--,--,--,--,--,1-1521-75718
IPIRANGA,Ipiranga Produtos de Petroleo S.A.,http://www.ipiranga.com.br,BR,LAC,Mr. Winston Fuhriman,tfuhriman2@markmonitor.com,--,--,--,--,--,--,1-1047-90306
IRA,Fidelity Brokerage Services LLC,https://www.fidelity.com/,US,NA,Tanya Sharko Courcey,tcourcey@fmr.com,--,--,--,--,--,--,1-1845-3627
IRISH,Dot-Irish LLC,http://www.dotirish.com,US,NA,Mr. Edward White,ed@tldassets.com,--,--,--,--,--,--,1-899-83326
ISELECT,iSelect Ltd,http://www.iselect.com.au/,AU,AP,Mr. Warren Myron Slabe,wslabe@iselect.com.au,--,--,--,--,--,--,1-1088-54663
ISLAM,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.,,TR,AP,Mehdi Abbasnia,agitsys3@nsline.com,--,--,--,--,Yes,--,1-2130-23450
ISMAILI,Fondation Aga Khan (Aga Khan Foundation),Http://www.akdn.org,CH,EUR,John Kane,Jkane1@afilias.info,--,--,--,--,Yes,--,1-1013-63095
IST,Istanbul Metropolitan Municipality,http://www.ibb.gov.tr,TR,AP,Ms. Gozde Seker,gozdevardar@gmail.com,--,--,--,--,--,Yes,1-896-64208
ISTANBUL,Istanbul Metropolitan Municipality,http://www.ibb.gov.tr,TR,AP,Ms. Gozde Seker,gozdevardar@gmail.com,--,--,--,--,--,Yes,1-896-81048
ITAU,Itau Unibanco Holding S.A.,http://www.itau.com,BR,LAC,Ms. Winston Troy Fuhriman,troy.fuhriman@markmonitor.com,--,--,--,--,--,--,1-876-18413
ITV,ITV Services Limited,,GB,EUR,Ms. Lorna Gradden,lorna.gradden.itv@valideus.com,--,--,--,--,--,--,1-978-21016
IVECO,Fiat Industrial S.p.A (società per azioni),http://www.fiatindustrial.com,IT,EUR,Gretchen Olive,cscngtlds53@cscinfo.com,--,--,--,--,--,--,1-2053-96234
IWC,Richemont DNS Inc.,http://www.richemont.com,CH,EUR,Ms. Lorna Gradden,lorna.gradden.ri@valideus.com,--,--,--,--,--,--,1-1253-3840
JAGUAR,Jaguar Cars Limited,http://www.jaguar.com,GB,EUR,Robert Stuart Carr,robc145@gmail.com,--,--,--,--,--,--,1-2033-3936
JAVA,Oracle Corporation,http://www.oracle.com,US,NA,Marilyn Tiki Dare,tiki.dare@oracle.com,--,--,--,--,--,--,1-1785-88138
JCB,"JCB Co., Ltd.",http://www.jcbcorporate.com,JP,AP,Mr. Shintaro Kobayashi,shintaro.kobayashi@jcb.co.jp,--,--,--,--,--,--,1-1806-69861
JCP,"JCP Media, Inc.",,US,NA,Gretchen Olive,jcpnewgtlds@cscinfo.com,--,--,--,--,--,--,1-1897-48644
JEEP,Chrysler Group LLC.,http://www.chryslergroupllc.com,US,NA,Gretchen Olive,cscngtlds40@cscinfo.com,--,--,--,--,--,--,1-2056-76990
JETZT,New TLD Company AB,,SE,EUR,Mr. Jonas Bengt Erik Cederfjall,icann@newtldcompany.com,--,--,--,--,--,--,1-1758-31045
JEWELRY,Richemont DNS Inc.,http://www.richemont.com,CH,EUR,Ms. Lorna Gradden,lorna.gradden.ri@valideus.com,--,--,--,--,--,--,1-1253-11362
JEWELRY,"Wild Bloom, LLC",,US,NA,Daniel Schindler,wildbloom@donuts.co,--,--,--,--,--,--,1-1520-93221
JIO,"Affinity Names, Inc.",,US,NA,John Kane,Jkane1@afilias.info,--,--,--,--,--,--,1-1013-15809
JLC,Richemont DNS Inc.,http://www.richemont.com,CH,EUR,Ms. Lorna Gradden,lorna.gradden.ri@valideus.com,--,--,--,--,--,--,1-1253-23191
JLL,Jones Lang LaSalle Incorporated,http://www.joneslanglasalle.com,US,NA,Gretchen Olive,jllnewgtlds@cscinfo.com,--,--,--,--,--,--,1-1250-4137
JMP,Matrix IP LLC,,US,NA,Joshua Bourne,Bourne.SA@fairwindspartners.com,--,--,--,--,--,--,1-1323-79639
JNJ,"Johnson & Johnson Services, Inc.",,US,NA,Joshua Bourne,bourne.jj@fairwindspartners.com,--,--,--,--,--,--,1-1156-43157
JOBURG,UniForum SA (NPC) trading as ZA Central Registry,http://www.Registry.net.za,ZA,AF,Mr. Neil Duncan Dundas,neil@dundas.co.za,--,--,--,--,--,Yes,1-1864-76634
JOT,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am1@valideus.com,--,--,--,--,--,--,1-1316-47849
JOY,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am1@valideus.com,--,--,--,--,--,--,1-1316-61557
JPMORGAN,JPMorgan Chase & Co.,http://www.jpmorganchase.com,US,NA,Mr. Winston Troy Fuhriman,tfuhriman5@markmonitor.com,--,--,--,--,--,--,1-1190-27386
JPMORGANCHASE,JPMorgan Chase & Co.,http://www.jpmorganchase.com,US,NA,Mr. Winston Troy Fuhriman,tfuhriman5@markmonitor.com,--,--,--,--,--,--,1-1190-16643
JPRS,"Japan Registry Services Co., Ltd.",http://jprs.co.jp/,JP,AP,Mr. Atsushi Endo,newgtlds@jprs.co.jp,--,--,--,--,--,--,1-913-735
JUEGOS,"Goose Gardens, LLC",,US,NA,Mr. Daniel Schindler,goosegardens@donuts.co,--,--,--,--,--,--,1-1522-61364
JUEGOS,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Mr. Frank Taylor Schilling,contact@uniregistry.com,--,--,--,--,--,--,1-845-92261
JUNIPER,"JUNIPER NETWORKS, INC.",http://www.juniper.net,US,NA,Stuart Smolen,ssmolen@juniper.net,--,--,--,--,--,--,1-1937-57060
JUSTFORU,Safeway Inc.,,US,NA,Joshua Bourne,bourne.sy@fairwindspartners.com,--,--,--,--,--,--,1-1189-43551
KAUFEN,United TLD Holdco Ltd.,http://unitedtld.com,KY,EUR,Mr. Jeffrey Eckhaus,hello@unitedtld.com,--,--,--,--,--,--,1-1255-46630
KDDI,KDDI CORPORATION,http://global.kddi.com/,JP,AP,Mr. Ryo Akamatsu,kddi@gmoregistry.com,--,--,--,--,--,--,1-1306-80495
KERASTASE,L'Oréal,http://www.loreal.com,FR,EUR,Mr. Georges-Edouard DIAS,gedias@loreal.com,--,--,--,--,--,--,1-1301-47281
KERRYHOTELS,Kerry Trading Co. Limited,,HK,AP,Ms. Amy Sook Yee Wong,awong@kuokgroup.com,--,--,--,--,--,--,1-928-47602
KERRYLOGISITICS,Kerry Trading Co. Limited,,HK,AP,Ms. Amy Sook Yee Wong,awong@kuokgroup.com,--,--,--,--,--,--,1-928-31367
KERRYPROPERTIES,Kerry Trading Co. Limited,,HK,AP,Ms. Amy Sook Yee Wong,awong@kuokgroup.com,--,--,--,--,--,--,1-928-12798
KETCHUP,ProMark Brands Inc.,,US,NA,Joshua Bourne,bourne.hz@fairwindspartners.com,--,--,--,--,--,--,1-941-54947
KFH,Kuwait Finance House,http://www.kfh.com,KW,AP,Amy Repp,tas-kfh-primary@centralnic.com,--,--,--,--,--,--,1-2099-6189
KIA,KIA MOTORS CORPORATION,http://www.kia.co.kr/,KR,AP,Mr. Mitsuaki Nakagawa,nakagawa_22@brights.jp,--,--,--,--,--,--,1-1737-31984
KID,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact2@google.com,--,--,--,--,--,--,1-1141-94472
KIDS,DotKids Foundation Limited,,HK,AP,Mr. Edmon Chung,info@tld.asia,--,--,--,--,Yes,--,1-1309-46695
KIDS,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am1@valideus.com,--,--,--,--,--,--,1-1316-67680
KIEHLS,L'Oréal,http://www.loreal.com,FR,EUR,Mr. Georges-Edouard DIAS,gedias@loreal.com,--,--,--,--,--,--,1-1301-10203
KIM,Afilias Limited,,IE,EUR,John Kane,jkane@afilias.info,--,--,--,--,--,--,1-868-81619
KINDER,Ferrero Trading Lux S.A.,http://www.ferrero.com,LU,EUR,Mr. Stefano Marzocchi,newgtld_fer@valideus.com,--,--,--,--,--,--,1-1126-16883
KINDLE,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am@valideus.com,--,--,--,--,--,--,1-1315-18526
KITCHEN,"Just Goodbye, LLC",,US,NA,Daniel Schindler,justgoodbye@donuts.co,--,--,--,--,--,--,1-1526-71442
KIWI,DOT KIWI LIMITED,http://www.dot-kiwi.com,NZ,AP,Mr. Timothy Johnson,tim@dot-kiwi.com,--,--,--,--,--,--,1-853-70338
KOELN,NetCologne Gesellschaft für Telekommunikation mbH,http://www.netcologne.de,DE,EUR,Mr. Hartmut Schulz,hschulz@netcologne.de,--,--,--,--,--,Yes,1-860-46860
KOMATSU,Komatsu Ltd.,http://www.komatsu.co.jp,JP,AP,Mr. Mitsuaki Nakagawa,nakagawa_06@brights.jp,--,--,--,--,--,--,1-946-52298
KONAMI,KONAMI CORPORATION,http://www.konami.co.jp/,JP,AP,Mr. Shigeyuki Homma,gtldaqst@konami.com,--,--,--,--,--,--,1-1117-18023
KONE,KONE Corporation,http://www.kone.com/,FI,EUR,Mr. Lauri Koivisto,Lauri.Koivisto@kone.com,--,--,--,--,--,--,1-1263-47652
KOSHER,Kosher Marketing Assets LLC,,US,NA,John Kane,Jkane1@afilias.info,--,--,--,--,--,--,1-1013-67544
KPMG,KPMG International Cooperative (KPMG International Genossenschaft),,NL,EUR,Mr. David Green,david.green.kpmg@valideus.com,--,--,--,--,--,--,1-1091-69197
KPN,Koninklijke KPN N.V.,http://www.kpn.com,NL,EUR,Mr. Mathijs Peter Haak,mathijs.haak@kpn.com,--,--,--,--,--,--,1-1667-96713
